trial_id,book_id,image_filename,distance_m,true_width_cm,true_height_cm,predicted_width_cm,predicted_height_cm,width_signed_error_cm,width_absolute_error_cm,width_percentage_error,width_absolute_percentage_error,height_signed_error_cm,height_absolute_error_cm,height_percentage_error,height_absolute_percentage_error,measurement_json,ground_truth_id,ground_truth_json,source_csv_row
book_01_2p134m,book_01,book_01_2p134m.jpeg,2.134,15.056255057836275,23.09652526274089,13.486814280453885,20.057678414086613,-1.5694407773823897,1.5694407773823897,-10.423845580150083,10.423845580150083,-3.038846848654277,3.038846848654277,-13.15716028313799,13.15716028313799,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_01_2p134m.json,book_01,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_01.json,2
book_02_2p134m,book_02,book_02_2p134m.jpeg,2.134,10.83063646208672,18.642000823895508,10.70222163686688,16.87225441097693,-0.1284148252198385,0.1284148252198385,-1.1856627786313587,1.1856627786313587,-1.769746412918579,1.769746412918579,-9.4933286916826,9.4933286916826,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_02_2p134m.json,book_02,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_02.json,3
book_03_2p134m,book_03,book_03_2p134m.jpeg,2.134,15.095331895951233,22.52388961803303,13.467478798800844,20.36878158901115,-1.627853097150389,1.627853097150389,-10.783817860851412,10.783817860851412,-2.155108029021882,2.155108029021882,-9.568098874434474,9.568098874434474,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_03_2p134m.json,book_03,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_03.json,4
book_04_2p134m,book_04,book_04_2p134m.jpeg,2.134,14.426846821220277,21.9380456387581,13.170740149028168,20.234492760414632,-1.256106672192109,1.256106672192109,-8.706730498756782,8.706730498756782,-1.7035528783434692,1.7035528783434692,-7.76529006455247,7.76529006455247,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_04_2p134m.json,book_04,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_04.json,5
book_05_2p134m,book_05,book_05_2p134m.jpeg,2.134,15.75187498014552,23.75638372059132,14.566308643632915,21.91568971541824,-1.1855663365126041,1.1855663365126041,-7.526509307666252,7.526509307666252,-1.8406940051730807,1.8406940051730807,-7.7482079209624075,7.7482079209624075,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_05_2p134m.json,book_5,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_5.json,6
book_01_2p591m,book_01,book_01_2p591m.jpeg,2.591,15.056255057836275,23.09652526274089,13.729055648801353,20.839399694297683,-1.3271994090349217,1.3271994090349217,-8.814937073905101,8.814937073905101,-2.2571255684432074,2.2571255684432074,-9.772576362750039,9.772576362750039,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_01_2p591m.json,book_01,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_01.json,7
book_02_2p591m,book_02,book_02_2p591m.jpeg,2.591,10.83063646208672,18.642000823895508,10.172079462803259,16.571155527257268,-0.6585569992834603,0.6585569992834603,-6.080501377631665,6.080501377631665,-2.0708452966382396,2.0708452966382396,-11.108492678445808,11.108492678445808,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_02_2p591m.json,book_02,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_02.json,8
book_03_2p591m,book_03,book_03_2p591m.jpeg,2.591,15.095331895951233,22.52388961803303,14.312068087518298,20.47306029998583,-0.7832638084329346,0.7832638084329346,-5.188781630187385,5.188781630187385,-2.050829318047203,2.050829318047203,-9.105129499503818,9.105129499503818,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_03_2p591m.json,book_03,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_03.json,9
book_04_2p591m,book_04,book_04_2p591m.jpeg,2.591,14.426846821220277,21.9380456387581,13.56086348917468,19.889858961502437,-0.8659833320455963,0.8659833320455963,-6.002582149633915,6.002582149633915,-2.0481866772556643,2.0481866772556643,-9.336231271381433,9.336231271381433,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_04_2p591m.json,book_04,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_04.json,10
book_05_2p591m,book_05,book_05_2p591m.jpeg,2.591,15.75187498014552,23.75638372059132,14.49628472294761,21.398451622916788,-1.255590257197909,1.255590257197909,-7.971052708204707,7.971052708204707,-2.3579320976745315,2.3579320976745315,-9.925467299262165,9.925467299262165,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_05_2p591m.json,book_5,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_5.json,11
